k m n Edges Density Diam Ecc CC deg
2 8 100 1148 0.11595959596 4 3.7701149425300002 0.28725589834000004 11.48
2 8 1000 14023 0.014037037036999999 6 5.33333333333 0.197331772804 14.023
2 8 10000 144857 0.00144871487149 6 5.31428571429 0.230408147255 14.4857
2 16 100 1215 0.122727272727 5 3.99 0.28506791559 12.15
2 16 1000 18583 0.018601601601599998 6 5.12008072654 0.15448685401599999 18.583
2 16 10000 246498 0.00246522652265 7 6.04733980168 0.11799277876599999 24.6498
2 32 100 1218 0.12303030303 4 3.9 0.280972660522 12.18
2 32 1000 18608 0.018626626626599998 6 5.138999999999999 0.151558962985 18.608
2 32 10000 251979 0.0025200420042 7 6.0239 0.09603585637739999 25.1979
2 160 100 1200 0.121212121212 4 3.95 0.279662073731 12.0
2 160 1000 18574 0.0185925925926 6 5.005 0.150517142096 18.574
2 160 10000 251956 0.0025198119812 7 6.0467 0.0962644511161 25.1956
5 8 100 1996 0.20161616161600002 4 3.16666666667 0.42888033703100004 19.96
5 8 1000 28352 0.0283803803804 5 4.84821428571 0.25571792886399997 28.352
5 8 10000 292119 0.00292148214821 6 5.631853785900001 0.287685587265 29.2119
5 16 100 2208 0.22303030303000004 4 3.13 0.400538679244 22.08
5 16 1000 37737 0.037774774774800006 5 4.36108324975 0.210040067099 37.737
5 16 10000 528245 0.005282978297829999 6 5.178838655290001 0.143174056225 52.8245
5 32 100 2247 0.22696969696999997 3 3.0 0.414324152728 22.47
5 32 1000 37614 0.037651651651699994 5 4.005 0.212575410559 37.614
5 32 10000 538096 0.0053814981498100005 5 5.0 0.13553582334699998 53.8096
5 160 100 2204 0.22262626262600002 3 3.0 0.405711609944 22.04
5 160 1000 37703 0.037740740740699996 5 4.029 0.213341499413 37.703
5 160 10000 539041 0.00539094909491 6 5.0006 0.134869575578 53.9041
10 8 100 2643 0.26696969696999995 3 3.0 0.461752407481 26.43
10 8 1000 39713 0.039752752752800005 6 5.36094674556 0.334724922984 39.713
10 8 10000 387730 0.00387768776878 9 8.290971822889999 0.34497440949 38.773
10 16 100 3060 0.309090909091 3 2.66 0.463531000029 30.6
10 16 1000 57676 0.05773373373369999 4 3.9739999999999998 0.275755076249 57.676
10 32 100 3027 0.305757575758 3 2.66 0.476439326878 30.27
10 32 1000 58024 0.0580820820821 4 3.846 0.27414155967099996 58.024
10 160 100 3074 0.310505050505 3 2.88 0.46292243969700003 30.74
10 160 1000 57978 0.058036036036 4 3.872 0.27280207413400004 57.978
20 8 100 3104 0.313535353535 3 2.89 0.523940710064 31.04
20 8 1000 36877 0.0369139139139 5 4.99641577061 0.37357055611400003 36.877
20 8 10000 366031 0.00366067606761 9 8.742437337939998 0.399939491853 36.6031
20 16 100 3656 0.369292929293 3 2.02 0.535951518239 36.56
20 16 1000 73338 0.0734114114114 4 3.0010000000000003 0.29413021522599997 73.338
20 160 100 3565 0.360101010101 3 2.09 0.531390865518 35.65
20 160 1000 73368 0.0734414414414 3 3.0 0.288681972807 73.368
