k m n Nodes Edges Density inDeg outDeg Diam Ecc CC
2 160 10000 10000 251956 0.0025198119812 25 25 7 6.0467 0.0962644511161
5 160 10000 10000 539041 0.00539094909491 53 53 6 5.0006 0.134869575578
10 160 1000 1000 57978 0.058036036036 57 57 4 3.872 0.272802074134
20 160 1000 1000 73368 0.0734414414414 73 73 3 3.0 0.288681972807
2 160 1000 1000 18574 0.0185925925926 18 18 6 5.005 0.150517142096
5 160 1000 1000 37703 0.0377407407407 37 37 5 4.029 0.213341499413
10 160 100 100 3074 0.310505050505 30 30 3 2.88 0.462922439697
20 160 100 100 3565 0.360101010101 35 35 3 2.09 0.531390865518
2 160 100 100 1200 0.121212121212 12 12 4 3.95 0.279662073731
5 160 100 100 2204 0.222626262626 22 22 3 3.0 0.405711609944
2 16 10000 10000 246498 0.00246522652265 24 24 7 6.04733980168 0.117992778766
5 16 10000 10000 528245 0.00528297829783 52 52 6 5.17883865529 0.143174056225
10 16 1000 1000 57676 0.0577337337337 57 57 4 3.974 0.275755076249
20 16 1000 1000 73338 0.0734114114114 73 73 4 3.001 0.294130215226
2 16 1000 1000 18583 0.0186016016016 18 18 6 5.12008072654 0.154486854016
5 16 1000 1000 37737 0.0377747747748 37 37 5 4.36108324975 0.210040067099
10 16 100 100 3060 0.309090909091 30 30 3 2.66 0.463531000029
20 16 100 100 3656 0.369292929293 36 36 3 2.02 0.535951518239
2 16 100 100 1215 0.122727272727 12 12 5 3.99 0.28506791559
5 16 100 100 2208 0.22303030303 22 22 4 3.13 0.400538679244
2 32 10000 10000 251979 0.0025200420042 25 25 7 6.0239 0.0960358563774
5 32 10000 10000 538096 0.00538149814981 53 53 5 5.0 0.135535823347
10 32 1000 1000 58024 0.0580820820821 58 58 4 3.846 0.274141559671
2 32 1000 1000 18608 0.0186266266266 18 18 6 5.139 0.151558962985
5 32 1000 1000 37614 0.0376516516517 37 37 5 4.005 0.212575410559
10 32 100 100 3027 0.305757575758 30 30 3 2.66 0.476439326878
2 32 100 100 1218 0.12303030303 12 12 4 3.9 0.280972660522
5 32 100 100 2247 0.22696969697 22 22 3 3.0 0.414324152728
10 8 10000 10000 387730 0.00387768776878 38 38 9 8.29097182289 0.34497440949
20 8 10000 10000 366031 0.00366067606761 36 36 9 8.74243733794 0.399939491853
2 8 10000 10000 144857 0.00144871487149 14 14 6 5.31428571429 0.230408147255
5 8 10000 10000 292119 0.00292148214821 29 29 6 5.6318537859 0.287685587265
10 8 1000 1000 39713 0.0397527527528 39 39 6 5.36094674556 0.334724922984
20 8 1000 1000 36877 0.0369139139139 36 36 5 4.99641577061 0.373570556114
2 8 1000 1000 14023 0.014037037037 14 14 6 5.33333333333 0.197331772804
5 8 1000 1000 28352 0.0283803803804 28 28 5 4.84821428571 0.255717928864
10 8 100 100 2643 0.26696969697 26 26 3 3.0 0.461752407481
20 8 100 100 3104 0.313535353535 31 31 3 2.89 0.523940710064
5 8 100 100 1996 0.201616161616 19 19 4 3.16666666667 0.428880337031
2 8 100 100 1148 0.11595959596 11 11 4 3.77011494253 0.28725589834
